#{"t_start": 1759234175.0383291, "env_id": "KinematicCar-v0"}
r,l,t
-13560.329636,600,16.190947
-6468.831133,600,16.290191
-4600.595165,600,16.390116
-4322.322768,600,16.490014
-2744.351043,600,16.590059
-3117.375309,600,37.802478
-7783.355402,600,37.903492
-5958.091053,600,38.004476
-2035.35804,600,38.103327
-10604.713167,600,38.1985
-2467.440323,600,59.308122
-2694.982655,600,59.409574
-2933.578785,600,59.510608
-1882.78028,600,59.610885
-1610.542648,600,59.711646
-1085.104457,500,80.956417
-146.441965,47,80.964498
-3052.660988,600,81.062814
-449.155589,76,81.075466
-2870.407669,600,81.173613
-2316.976137,600,102.39558
-1518.309646,600,102.491596
-1911.291251,600,102.587787
-1964.549554,600,102.683378
-2010.405051,600,102.779416
-714.37038,600,123.803652
-904.493457,600,123.904476
-1304.649732,600,124.002698
-2074.350128,600,124.102089
-1229.189506,600,124.201175
-1788.429219,600,145.120831
-1367.681974,600,145.215763
-2748.901815,600,145.310999
-1317.536281,600,145.407776
-2252.086317,600,145.502854
-2542.875854,600,166.272656
-1524.291125,600,166.369426
-2055.064776,600,166.465493
-2236.550616,600,166.561107
-2125.715808,600,166.656655
-1531.507457,600,187.482963
-1195.387632,600,187.582865
-586.751696,600,187.678145
-2666.036186,600,187.773049
-1715.929095,600,187.867514
-2328.145575,600,208.877406
-620.889457,118,208.898031
-3122.307033,600,209.000511
-1161.358258,600,209.103691
-1553.329152,600,209.20486
-986.807353,600,230.047414
-1062.396752,600,230.14444
-1524.667985,600,230.242141
-1991.382913,600,230.338521
-851.889537,297,230.389698
-1916.128227,600,251.043225
-2801.693758,600,251.138954
-1788.422397,600,251.234396
-1352.690474,600,251.331005
-1902.783334,600,251.430143
-1353.175396,600,272.434714
-723.320254,600,272.531329
-2344.712684,600,272.627629
-1418.661257,600,272.724887
-1838.657758,600,272.821259
-1759.037256,600,293.844903
-731.056209,600,293.946077
-745.797166,600,294.046664
-1959.935384,600,294.146837
-2456.992011,600,294.244323
-1332.300457,600,315.093663
-2904.585334,600,315.193836
-901.523398,600,315.290281
-1202.078329,600,315.386932
-1228.705376,600,315.483469
-2170.583405,600,336.557626
-439.83954,600,336.654509
-768.967564,600,336.750288
-1243.135505,600,336.846782
-660.249184,600,336.942964
-726.372751,600,358.006186
-911.370081,600,358.10823
-342.438096,600,358.20995
-1692.217938,600,358.311635
-586.744258,600,358.416833
-568.684727,600,379.661051
-1179.646334,600,379.759845
-854.164277,600,379.858005
-1235.305609,600,379.95673
-834.175831,600,380.055621
-913.145531,600,400.89345
-1608.225515,600,400.989998
-1311.587133,600,401.086253
-957.55083,600,401.182385
-1399.993944,600,401.278581
-997.185078,600,422.281478
-1546.251848,600,422.376559
-1340.953958,600,422.472045
-1491.610708,600,422.567477
-1135.231633,600,422.662604
25.615242
-1830.100758,600,127.373464
-1777.804958,600,128.655197
-2081.228367,529,129.738369
-418.037485,82,129.905874
-1488.067034,600,131.135257
-2564.208147,600,132.393648
-1879.545754,600,133.668402
-1669.191932,600,134.892122
-3185.002708,600,136.144347
-180.064618,54,136.252364
-713.407269,146,136.56-1259.-1338.529791,600,137.80-1493.-1443.856929,600,139.01-1657.-1880.643213,600,140.27-1804.-3722.565753,600,141.4-1196.-1756.968889,600,142.74-1075.-1793.99465,600,143.998-1422-2395.318726,600,145.25-1186.-1207.070754,600,146.54-2204.-1816.512792,600,148.28-1395.531401,600,148.687395
-1-1342.133554,600,149.634513-1-1115.385085,600,150.890529-1354.150518,548,151.793869
--1590.584981,600,153.042537
--1213.143399,422,153.911466
--1507.132913,600,155.125146-1-1816.450346,600,156.388923-2052.554756,600,157.200125
--1167.005231,600,158.474739
--1771.119074,600,159.703658
--1589.511501,600,160.950914
--1516.978669,600,162.170254
--2934.414807,600,163.387783
--1102.278772,600,164.636631
--1694.986604,600,165.843085
--4654.324658,600,167.082103
--1649.387307,600,168.79093
-1504.394666,579,169.995254
-1128.991243,600,171.208103-1-2584.433265,600,172.442452-2-1899.524677,600,173.685735-1-949.025131,314,174.33184
-1892.781973,600,175.013878
--1648.766376,600,176.307746
-1654.740888,600,177.181675
-1348.706171,600,178.086125
--1718.178235,600,179.323739
--603.87578,188,179.71953
-1-1128.509662,600,180.924521
-2245.144474,600,182.204037
-2248.493263,600,183.445327
-1923.62548,600,184.692574
-2341.514429,600,185.903105
-1216.195104,600,187.151774
-1376.741208,600,188.382643
-214.997641,61,188.513774
-141.308497,59,188.637065
-2324.064162,600,190.376575
-1795.92244,587,191.614544
-1753.875244,600,192.851549
-2778.250923,600,194.141402
-1489.798363,600,195.391837
-1218.521995,600,196.634365
-2320.017048,600,197.857177
-2409.90696,600,199.100563
-2644.567128,600,200.36534
-1346.053135,600,201.613888
-1737.167251,600,202.864011
-2196.981932,600,204.094902
-2183.446084,600,205.336289
-1654.959086,509,206.42475
-1393.070941,600,207.74333
-2069.102207,600,208.973933
-1399.866071,600,210.237841
-1257.092861,363,211.425086
-2254.396572,600,212.672837
-1882.94002,600,213.915517
-2292.987991,600,215.165004
-1755.569079,600,216.416894
-2702.923289,600,217.690243
-2215.303517,600,218.905802
-2137.944621,600,220.154078
-1454.074732,600,221.40099
-1214.443931,600,222.674405
-1295.248773,600,223.950607
-1141.931137,600,225.184687
-407.608368,127,225.44012
-1489.93666,539,226.552451
-1505.264199,600,227.766593
-1362.957961,600,229.008836
-1587.624282,600,230.25949
-1209.626651,600,231.489377
-2059.396965,600,233.161059
-133.969604,112,233.3888
-1946.600466,600,234.612797
-1565.982348,392,235.425835
-1514.300719,600,236.65791
-1693.894125,600,237.88659
-1690.641074,600,239.100549
-1610.6423,600,240.308562
-367.550592,207,240.728115
-2287.795223,600,241.989492
-1332.126122,600,243.218184
-1529.114757,600,244.426859
-1470.118286,600,245.642144
-1653.155998,600,246.861335
-1220.943168,600,248.128526
-1740.483823,600,249.378132
-1511.960956,600,250.625931
-1438.590064,600,251.867847
-800.614894,171,252.21512
-1187.55256,600,253.965629
-1786.467464,600,255.206754
-1302.37318,600,256.42456
-1498.368447,600,257.664394
-1569.215395,600,258.987882
-646.329958,101,259.191918
-1705.911709,600,260.426075
-2031.225331,600,261.679918
-437.411993,84,261.850942
-1530.326868,600,263.090452
-1962.696796,600,264.339988
-1408.630169,600,265.595815
-2370.139815,600,266.874412
-1208.915451,600,268.127003
-992.153063,600,269.386368
-360.086701,172,269.74424
-1599.080543,600,270.996861
-1350.996356,547,272.143556
-1490.998753,600,273.404379
-1661.090155,600,275.14196
-1381.974664,600,276.383237
-1506.371247,600,277.619272
-1423.476791,600,278.882593
-839.127453,394,279.717393
-1554.680625,600,280.964301
-1185.086093,600,282.236646
-1023.610843,359,282.975109
-123.129776,65,283.108846
-1579.692787,600,284.37338
-630.315451,197,284.783083
-1474.41671,600,286.025337
-2106.507167,600,287.27266
-1193.055833,600,288.539058
-1061.729227,600,289.830874
-529.588715,225,290.306903
-1486.217019,600,291.538174
-28.458709,37,291.614717
-1244.974326,596,292.838966
-858.201197,563,294.071776
-1399.560206,600,295.316329
-1870.756521,600,297.042311
-1487.058321,600,298.264215
-1522.626304,600,299.505289
-1138.687313,600,300.745765
-1403.124176,600,302.010824
-1526.896705,600,303.295367
-1415.642513,600,304.535005
-1718.462775,600,305.78036
-1177.355061,600,307.025298
-2274.511072,600,308.268837
-582.966812,180,308.633446
-1915.213358,600,309.868115
-1484.693663,600,311.097576
-1744.528695,600,312.336946
-818.418641,346,313.054014
-257.212838,153,313.36838
-1579.286491,600,314.634436
-1008.891728,600,315.88555
-1764.582165,600,317.632051
-1296.543824,600,318.920327
-664.173774,442,319.89172
-1304.961393,600,321.130804
-3164.24734,600,322.366709
-2169.376344,600,323.572238
-293.847988,182,323.941755
-1116.613387,600,325.198983
-1600.301474,600,326.540519
-1787.425496,600,327.804507
-1654.030276,600,329.063396
-2798.147285,600,330.314159
-172.256606,136,330.601942
-1784.02168,600,331.842584
-1210.728632,600,333.097891
-1099.441478,600,334.314927
-1503.555076,600,335.583052
-230.697325,174,335.940624
-764.297092,333,336.619935
-561.081957,92,336.81299
-1758.870146,600,338.095123
-1815.859368,600,339.853941
-1248.948841,600,341.120759
-1412.361609,579,342.311667
-1923.141516,600,343.561059
-107.193404,41,343.648396
-1312.845218,600,344.916804
-1507.099332,600,346.176592
-1146.362807,600,347.43287
-790.648991,380,348.240326
-1954.186657,600,349.491089
-1459.901818,600,350.766965
-1117.887002,600,352.014189
-282.793868,123,352.269371
-1494.814591,600,353.503998
-1275.642055,600,354.770181
-1044.732915,418,355.654156
-1891.717618,600,356.906129
-2224.551326,600,358.165806
-1318.795368,512,359.239811
-1703.032816,600,361.011123
-1266.536086,600,362.296516
-1642.262678,600,363.570298
-1523.979361,600,364.830902
-382.257237,171,365.189131
-1471.718876,600,366.478582
-2081.578524,600,367.738345
-1225.356745,600,368.998098
-1445.880433,600,370.260168
-1380.671083,600,371.529501
-1227.778345,600,372.807027
-421.164401,159,373.155063
-479.407463,370,373.938267
-1226.446921,600,375.17723
-1439.21825,600,376.447274
-1007.114372,600,377.691023
-1154.001525,600,378.973048
-1396.762271,600,380.252547
-845.33912,441,381.192837
-1613.681161,600,382.93699
-265.980384,132,383.208377
-1134.288778,600,384.447483
-125.283118,70,384.592257
-1598.374659,600,385.803458
-1313.358416,600,387.065253
-1919.895454,600,388.316523
-1226.447087,600,389.541062
-898.537664,270,390.115915
-1175.034324,600,391.372764
-1419.324843,600,392.658058
-1624.649951,600,393.890245
-1376.505593,600,395.136622
-1307.299667,600,396.370018
-1049.918111,600,397.634135
-1075.827423,600,398.873694
-2121.907674,600,400.084025
-1532.263661,600,401.33123
-1735.142246,600,402.584701
-613.778753,166,403.411519
-1894.328479,600,404.667293
-420.98201,146,404.972767
-849.526968,376,405.768336
-2170.644412,600,407.021593
-276.385291,168,407.358917
-274.296736,149,407.664343
-1357.262168,600,408.914772
-719.938165,431,409.833076
-1120.124592,600,411.085436
-422.598769,164,411.430982
-1979.148589,600,412.681702
-1086.218922,600,413.929902
-1726.168563,600,415.232048
-1606.337193,600,416.503325
-1827.561279,600,417.796634
