#{"t_start": 1759137489.0628169, "env_id": "KinematicCar-v0"}
r,l,t
-31.124857,500,11.217929
-77.972986,500,11.305913
-62.634005,500,11.392785
-16.944757,500,11.480097
-35.439398,500,11.566549
-33.933719,500,32.347501
-78.343782,500,32.434056
-90.502535,500,32.520245
-17.032098,500,32.606336
-45.41506,500,32.693195
-28.56999,500,53.447718
-6.516696,500,53.528964
-56.603854,500,53.610322
-17.131822,500,53.691126
-62.240838,500,53.771857
-35.875409,500,74.603045
-41.413151,500,74.690588
51.159548,72,74.703418
-116.503248,500,74.791198
-14.83607,500,74.879203
-21.545097,500,95.85688
-42.576357,500,95.945705
-23.626827,500,96.035618
-7.261707,500,96.12467
-16.153511,500,96.213628
-15.067821,500,117.13448
-85.889725,500,117.22269
-75.93849,500,117.310031
-10.395775,500,117.397062
-85.682593,500,117.482518
-8.235489,500,138.4565
-30.448022,500,138.543868
-30.412142,500,138.630651
-17.579531,500,138.717266
-24.474566,500,138.804103
-24.353867,500,159.832972
-49.241266,500,159.916035
-66.191861,500,159.999157
-34.306236,500,160.082286
-4.282392,500,160.164613
-5.213628,500,181.029858
-29.991881,500,181.113946
-13.192823,500,181.198058
-17.337119,500,181.281491
-21.219051,500,181.368217
-12.247299,500,202.590294
-7.101592,500,202.672403
-33.863004,500,202.754938
-11.080355,500,202.837536
-62.655899,500,202.920577
-30.984711,500,223.890846
-48.285923,500,223.977561
-64.772648,500,224.064341
-31.900937,500,224.150681
-19.396673,500,224.23717
-9.048704,500,245.198978
-29.659417,500,245.283076
-66.898304,500,245.366677
-7.981431,500,245.451486
-20.660302,500,245.535307
-31.516083,500,266.514789
-13.325942,500,266.601676
-45.193777,500,266.687744
-37.741161,500,266.774521
-51.496975,500,266.861767
-21.03682,500,287.662249
-32.268131,500,287.751012
-27.828743,500,287.836601
-37.480632,500,287.921051
-32.674857,500,288.005829
-59.19491,500,309.013562
-38.250018,500,309.103027
-15.11374,500,309.191156
-19.744755,500,309.280299
-6.443501,500,309.369477
-7.793894,500,330.544658
-34.780714,500,330.628093
-11.351646,500,330.71189
-37.756488,500,330.795904
-54.245001,500,330.879553
-11.583983,500,351.979611
-53.17978,500,352.069665
-36.544111,500,352.159576
-37.686215,500,352.249901
-49.188072,500,352.339211
-57.914944,500,373.25492
-12.184306,500,373.344706
-50.349933,500,373.433562
-1.402834,500,373.521956
-72.73913,500,373.614758
-44.042383,500,394.624589
-31.196001,500,394.707825
-29.856176,500,394.790184
-58.619924,500,394.872841
-31.631265,500,394.955794
-17.179391,500,415.842614
-47.829539,500,415.926857
-38.626212,500,416.010263
-7.742107,500,416.093501
-8.093527,500,416.177125

-75.674191,500,102.398319
-23.765521,500,103.434077
-28.401297,500,104.498806
-18.878894,500,105.531649
-58.172043,500,106.557316
-50.882071,500,107.594276
-41.534435,500,108.626147
-47.56882,500,109.665243
-6.148771,500,110.706235
-49.339852,500,111.748707
-26.951198,500,112.783799
-42.290709,500,113.826707
-23.661963,500,114.894324
-22.603327,500,115.929944
-5.358712,308,116.566449
-97.608121,500,117.613845
-35.935632,500,118.647093
-36.105458,500,120.159186
-25.284347,500,121.209722
-33.461869,500,122.252462
-15.200763,500,123.316567
-74.564398,500,124.343694
-16.539538,500,125.379175
-45.073631,500,126.42209
-26.140483,500,127.459071
-73.641934,500,128.498444
-55.87508,500,129.542308
-28.852465,500,130.571072
-67.809205,500,131.592537
