#{"t_start": 1759147325.73716, "env_id": "KinematicCar-v0"}
r,l,t
-92.491391,600,14.474821
-95.630371,600,14.599116
-92.831798,600,14.724629
-91.952094,600,14.850121
-92.068068,600,14.975355
-93.984644,600,41.75412
-94.97612,600,41.876966
-97.132597,600,41.998446
-94.642089,600,42.118747
-92.91877,600,42.238721
-95.775971,600,69.214265
-95.61473,600,69.336706
-97.302847,600,69.457814
-92.223247,600,69.578645
-96.039143,600,69.69987
-97.271403,600,96.735931
-92.337213,600,96.856123
-94.070145,600,96.975853
-95.017604,600,97.096361
-92.399889,600,97.217949
-96.232196,600,124.424369
-94.949469,600,124.551718
-93.908572,600,124.678342
-96.334214,600,124.805926
-92.520536,600,124.929312
-96.539333,600,151.908056
-98.478799,600,152.035254
-95.408803,600,152.162462
-95.70186,600,152.290038
-95.632753,600,152.418121
-95.549157,600,179.537036
-97.148905,600,179.660519
-92.65358,600,179.782116
-92.634293,600,179.903515
-96.872095,600,180.024701
-93.995994,600,207.479637
-92.282425,600,207.602996
-95.568477,600,207.726451
-97.043429,600,207.84891
-95.029293,600,207.97558
-96.894114,600,234.893827
-95.023733,600,235.014259
-91.76802,600,235.135119
-92.39455,600,235.255509
-94.460559,600,235.376816
-96.155492,600,262.401609
-93.26764,600,262.528078
-92.278638,600,262.653881
-96.845333,600,262.779211
-95.364351,600,262.904923
-96.115708,600,289.787693
-95.752286,600,289.911735
-96.956908,600,290.034873
-96.086213,600,290.155782
-96.409687,600,290.276794
-96.592107,600,317.439148
-94.160446,600,317.56284
-93.020562,600,317.689813
-96.081859,600,317.816296
-95.952811,600,317.943033
-92.194447,600,344.787781
-97.345209,600,344.913548
-94.099481,600,345.039326
-97.075245,600,345.16507
-92.823207,600,345.290812
-97.052742,600,372.125342
-93.447126,600,372.246458
-94.946463,600,372.36966
-96.384091,600,372.490431
-97.006606,600,372.606452
-92.448149,600,399.427587
-92.429389,600,399.553422
-94.608755,600,399.680671
-92.365211,600,399.806536
-95.429012,600,399.931349
-93.450814,600,426.750096
-96.179201,600,426.876468
-97.161984,600,427.003168
-96.830756,600,427.129195
-93.722016,600,427.25508
-96.641824,600,454.260706
-100.992306,600,454.387249
-96.259522,600,454.509138
-95.246078,600,454.636133
-102.786031,600,454.762567
-96.765051,600,481.70792
-100.385762,600,481.844363
-96.112871,600,481.963119
-92.523731,600,482.082446
-106.735904,600,482.202249
-96.682224,600,509.602059
-97.170733,600,509.729656
-95.406596,600,509.856608
-93.009809,600,509.983525
-92.24785,600,510.110722
-92.811658,600,537.00852
-96.468682,600,537.130322
-94.810378,600,537.251134
-94.160147,600,537.372516
-97.094165,600,537.493819
4086
-92.477528,600,153.700058
-89.911791,600,155.943438
-91.820132,600,157.546782
-97.675588,600,159.15771
-95.177123,600,160.798612
-91.598097,600,162.406497
-93.629678,600,164.023671
-93.126092,600,165.631469
-96.762187,600,167.234853
-94.757985,600,168.849527
-92.660892,600,170.444973
-92.149935,600,172.030181
23.957202,155,172.444775
-96.351289,600,174.23901
-92.657457,600,175.850475
-99.762804,600,177.454546
-95.045178,600,179.063139
-95.969846,600,180.682307
-90.460829,600,182.90332
-95.887804,600,184.499276
-97.578772,600,186.127649
-97.951298,600,187.741665
-96.545398,600,189.35042
30.779618,129,189.691427
9.20465,260,190.403108
-90.936953,600,192.11145
-97.310173,600,193.742786
-92.046169,600,195.356972
7.22401,297,196.331291
-43.957745,591,198.024501
-91.776089,600,199.653713
-93.148703,600,201.260543
-97.739739,600,202.849912
-98.126313,600,204.52562
49.374613,34,204.622022
-96.061204,600,206.213689
-98.655493,600,207.802592
-95.917707,600,210.072502
-90.693819,600,211.732403
-97.089554,600,213.320187
-99.317206,600,214.92468
-96.173327,600,216.508878
-98.955799,600,218.103662
-94.387231,600,219.699002
-96.794497,600,221.414681
-90.209302,600,223.007109
-96.181064,600,224.605799
